Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
422740,0,0,0,0,0,0,0,0,120.15,0,0.01,0.05,0.2,0.3,0,1
422750,0,0,0,0,0,0,0,0,120.15,0,0.01,0.05,0.2,0.3,0,1
422760,0,0,12,0,12,0.144,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422770,0,0,24,0,24,0.288,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422780,0,0,36,0,36,0.432,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422790,0,0,48,0,48,0.577,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422800,0,0,60,0,60,0.721,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422810,0,0,72,0,72,0.865,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422820,0,0,84,0,84,1.009,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422830,0,0,96,0,96,1.153,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422840,0,0,108,0,108,1.297,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422850,0,0,120,0,120,1.441,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422860,0,0,132,0,132,1.586,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422870,0,0,144,0,144,1.73,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422880,0,0,156,0,156,1.874,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422890,0,0,168,0,168,2.018,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422900,0,0,180,0,180,2.162,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422910,0,0,192,0,192,2.306,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422920,0,0,204,0,204,2.45,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422930,0,0,216,0,216,2.595,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422940,0,0,228,0,228,2.739,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422950,0,0,240,0,240,2.883,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422960,0,0,250,0,250,3.003,0,0,0,1,0.01,0.05,0.2,0.3,0,1
422970,0,0,250,1.28,250,3.003,1,6.4,1.28,1,0.01,0.05,0.2,0.3,0,1
422980,0,0,250,1.02,250,3.003,0,0,1.02,1,0.01,0.05,0.2,0.3,0,1
422990,0,0,250,0.82,250,3.003,0,0,0.82,1,0.01,0.05,0.2,0.3,0,1
423000,0,0,250,0.66,250,3.003,0,0,0.66,1,0.01,0.05,0.2,0.3,0,1
423010,0,0,250,0.52,250,3.003,0,0,0.52,1,0.01,0.05,0.2,0.3,0,1
423020,0,0,250,0.42,250,3.003,0,0,0.42,1,0.01,0.05,0.2,0.3,0,1
423030,0,0,250,2.9,250,3.003,2,12.8,2.9,1,0.01,0.05,0.2,0.3,0,1
423040,0,0,250,3.6,250,3.003,1,6.4,3.6,1,0.01,0.05,0.2,0.3,0,1
423050,0,0,250,6.72,250,3.003,3,19.21,6.72,1,0.01,0.05,0.2,0.3,0,1
423060,0,0,250,7.94,250,3.003,2,12.8,7.94,1,0.01,0.05,0.2,0.3,0,1
423070,0,0,250,8.91,250,3.003,2,12.8,8.91,1,0.01,0.05,0.2,0.3,0,1
423080,0,0,250,10.97,250,3.003,3,19.21,10.97,1,0.01,0.05,0.2,0.3,0,1
423090,0,0,250,12.62,250,3.003,3,19.21,12.62,1,0.01,0.05,0.2,0.3,0,1
423100,0,0,250,15.21,250,3.003,4,25.61,15.21,1,0.01,0.05,0.2,0.3,0,1
423110,0,0,250,16.01,250,3.003,3,19.21,16.01,1,0.01,0.05,0.2,0.3,0,1
423120,0,0,250,17.93,250,3.003,4,25.61,17.93,1,0.01,0.05,0.2,0.3,0,1
423130,0,0,250,18.19,250,3.003,3,19.21,18.19,1,0.01,0.05,0.2,0.3,0,1
423140,0,0,250,19.67,250,3.003,4,25.61,19.67,1,0.01,0.05,0.2,0.3,0,1
423150,0,0,250,20.86,250,3.003,4,25.61,20.86,1,0.01,0.05,0.2,0.3,0,1
423160,0,0,250,21.81,250,3.003,4,25.61,21.81,1,0.01,0.05,0.2,0.3,0,1
423170,0,0,250,21.29,250,3.003,3,19.21,21.29,1,0.01,0.05,0.2,0.3,0,1
423180,0,0,250,22.15,250,3.003,4,25.61,22.15,1,0.01,0.05,0.2,0.3,0,1
423190,0,0,250,24.12,250,3.003,5,32.01,24.12,1,0.01,0.05,0.2,0.3,0,1
423200,0,0,250,24.42,250,3.003,4,25.61,24.42,1,0.01,0.05,0.2,0.3,0,1
423210,0,0,250,24.66,250,3.003,4,25.61,24.66,1,0.01,0.05,0.2,0.3,0,1
423220,0,0,250,26.13,250,3.003,5,32.01,26.13,1,0.01,0.05,0.2,0.3,0,1
423230,0,0,250,27.3,250,3.003,5,32.01,27.3,1,0.01,0.05,0.2,0.3,0,1
423240,0,0,250,26.97,250,3.003,4,25.61,26.97,1,0.01,0.05,0.2,0.3,0,1
423250,0,0,250,29.25,250,3.003,6,38.41,29.25,1,0.01,0.05,0.2,0.3,0,1
423260,0,0,250,28.53,250,3.003,4,25.61,28.53,1,0.01,0.05,0.2,0.3,0,1
423270,0,0,250,29.22,250,3.003,5,32.01,29.22,1,0.01,0.05,0.2,0.3,0,1
423280,0,0,250,29.78,250,3.003,5,32.01,29.78,1,0.01,0.05,0.2,0.3,0,1
423290,0,0,250,31.51,250,3.003,6,38.41,31.51,1,0.01,0.05,0.2,0.3,0,1
423300,0,0,250,31.61,250,3.003,5,32.01,31.61,1,0.01,0.05,0.2,0.3,0,1
423310,0,0,250,32.97,250,3.003,6,38.41,32.97,1,0.01,0.05,0.2,0.3,0,1
423320,0,0,250,32.78,250,3.003,5,32.01,32.78,1,0.01,0.05,0.2,0.3,0,1
423330,0,0,250,33.9,250,3.003,6,38.41,33.9,1,0.01,0.05,0.2,0.3,0,1
423340,0,0,250,33.53,250,3.003,5,32.01,33.53,1,0.01,0.05,0.2,0.3,0,1
423350,0,0,250,33.22,250,3.003,5,32.01,33.22,1,0.01,0.05,0.2,0.3,0,1
423360,0,0,250,34.26,250,3.003,6,38.41,34.26,1,0.01,0.05,0.2,0.3,0,1
423370,0,0,250,35.09,250,3.003,6,38.41,35.09,1,0.01,0.05,0.2,0.3,0,1
423380,0,0,250,35.75,250,3.003,6,38.41,35.75,1,0.01,0.05,0.2,0.3,0,1
423390,0,0,250,36.29,250,3.003,6,38.41,36.29,1,0.01,0.05,0.2,0.3,0,1
