Time_ms,Mode,Setpoint_RPM,Setpoint_PWM,Actual_RPM,PWM_Output,Voltage_V,Delta_Count,Raw_RPM,X_hat,Dir,KF_W,KF_V,TrustRatio,LQG_L,NoiseN,NoiseDone
1137260,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137270,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137280,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137290,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137300,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137310,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137320,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137330,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137340,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137350,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137360,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137370,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137380,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137390,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137400,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137410,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137420,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137430,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137440,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137450,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137460,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137470,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137480,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137490,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137500,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137510,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137520,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137530,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137540,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
1137550,0,0,0,0,0,0,0,0,160.55,0,1.974374,9.871872,0.2,0.303981,1000,1
